id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
588376;19/03/2024;terça-feira;15:30:00;MG;262;819;UBERABA;Ausência de reação do condutor;Colisão com objeto;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;1;0;0;0;0;1;0;1;-19,76304151;-48,1335551;SPRF-MG;DEL13-MG;UOP01-DEL13-MG
588377;19/03/2024;terça-feira;14:40:00;MG;262;854;CONCEICAO DAS ALAGOAS;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;0;2;0;0;0;2;1;-19,76949766;-48,35973609;SPRF-MG;DEL13-MG;UOP01-DEL13-MG
588378;19/03/2024;terça-feira;16:00:00;SC;280;48,7;GUARAMIRIM;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Aclive;Reta;Em Obras";Não;1;0;1;0;0;0;1;1;-26,45506795;-48,92766502;SPRF-SC;DEL03-SC;UOP03-DEL03-SC
588379;19/03/2024;terça-feira;15:55:00;MG;40;459;SETE LAGOAS;Deficiência do Sistema de Iluminação/Sinalização;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Curva;Não;3;0;1;0;2;0;1;3;-19,388919;-44,335457;SPRF-MG;DEL02-MG;UOP01-DEL02-MG
588380;19/03/2024;terça-feira;16:50:00;RS;158;140,1;CONDOR;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Interseção de Vias;Sim;2;0;1;0;1;0;1;2;-28,20132795;-53,47405277;SPRF-RS;DEL08-RS;UOP01-DEL08-RS
588381;19/03/2024;terça-feira;16:30:00;DF;40;4,2;BRASILIA;Ausência de reação do condutor;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;4;0;2;0;2;0;2;1;-16,012033;-47,982124;SPRF-DF;DEL01-DF;UOP01-DEL01-DF
588382;19/03/2024;terça-feira;16:50:00;MG;381;3,5;BETIM;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Aclive;Reta";Não;2;0;2;0;0;0;2;1;-19,96825;-44,198708;SPRF-MG;DEL01-MG;UOP03-DEL01-MG
588385;19/03/2024;terça-feira;17:00:00;SC;101;141;ITAPEMA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;0;1;1;2;-27,04761729;-48,59995855;SPRF-SC;DEL04-SC;UOP03-DEL04-SC
588386;19/03/2024;terça-feira;17:03:00;PR;277;650;MATELANDIA;Desrespeitar a preferência no cruzamento;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Reta;Rotatória";Sim;3;0;2;0;1;0;2;2;-25,19459268;-53,94103646;SPRF-PR;DEL05-PR;UOP02-DEL05-PR
588387;19/03/2024;terça-feira;14:30:00;BA;116;12,3;VITORIA DA CONQUISTA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1;0;1;0;0;0;1;1;-14,879204;-40,871087;SPRF-PE;DEL05-PE;UOP03-DEL05-PE
588388;19/03/2024;terça-feira;12:41:00;PA;163;981;SANTAREM;Entrada inopinada do pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Declive";Sim;2;1;0;0;1;0;0;2;-2,62917092;-54,74150509;SPRF-PA;DEL05-PA;UOP01-DEL05-PA
588389;19/03/2024;terça-feira;15:40:00;PE;423;59,4;LAJEDO;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;3;0;1;1;1;0;2;2;-8,64676387;-36,31558317;SPRF-PE;DEL03-PE;UOP01-DEL03-PE
588391;19/03/2024;terça-feira;15:30:00;SC;101;416;ARARANGUA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;3;0;1;0;2;0;1;3;-28,96708874;-49,52338825;SPRF-SC;DEL02-SC;UOP02-DEL02-SC
588393;19/03/2024;terça-feira;17:40:00;ES;101;383,1;ICONHA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Curva;Não;2;0;1;0;1;0;1;2;-20,82532924;-40,85473381;SPRF-ES;DEL03-ES;UOP01-DEL03-ES
588394;19/03/2024;terça-feira;18:30:00;TO;10;456;PALMAS;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Múltipla;Reta;Não;2;0;1;0;0;1;1;2;-10,28972904;-48,29754397;SPRF-TO;DEL01-TO;UOP03-DEL01-TO
588399;19/03/2024;terça-feira;18:00:00;RS;116;271;PORTO ALEGRE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-29,97104771;-51,18334193;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
588402;19/03/2024;terça-feira;17:30:00;PI;407;423,2;PICOS;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Reta;Sim;3;0;0;1;1;1;1;3;-7,079333;-41,433254;SPRF-PI;DEL04-PI;UOP01-DEL04-PI
588403;19/03/2024;terça-feira;18:50:00;RN;101;99;PARNAMIRIM;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;4;0;1;0;3;0;1;3;-5,87359183;-35,22063023;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
588404;19/03/2024;terça-feira;17:55:00;SC;101;125,8;ITAJAI;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Crescente;Nublado;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-26,94802427;-48,68338515;SPRF-SC;DEL04-SC;UOP04-DEL04-SC
588406;19/03/2024;terça-feira;18:55:00;RJ;101;320;NITEROI;Condutor deixou de manter distância do veículo da frente;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;Curva;Sim;2;0;1;0;1;0;1;2;-22,86171098;-43,10714015;SPRF-RJ;DEL02-RJ;UOP01-DEL02-RJ
588407;19/03/2024;terça-feira;18:45:00;MG;50;157;UBERABA;Transitar no Acostamento;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Dupla;Reta;Não;2;1;0;0;0;1;0;2;-19,62753014;-48,01465362;SPRF-MG;DEL13-MG;UOP01-DEL13-MG
